name,#,wpm,accuracy,raw,date,consistency
halation,1060,193.51,98.79%,198.31,87.34%,11 Nov 2023,05:57
AwesomeEmerald,1061,193.51,98.79%,198.31,86.77%,22 Oct 2023,12:45
Jamtri,1062,193.51,97.64%,203.11,88.29%,29 Sep 2023,09:44
jasonsxyz,1063,193.50,98.80%,199.09,91.54%,10 Oct 2023,01:22
SalvatoreSgro,1064,193.50,96.54%,207.89,92.21%,08 Oct 2023,20:25
forMyFriend,1065,193.47,100.00%,193.47,90.43%,10 Dec 2023,18:03
moofegelein,1066,193.47,100.00%,193.47,85.36%,18 May 2023,16:31
oldmcdonald,1067,193.47,100.00%,193.47,82.49%,21 Apr 2023,11:52
rxydenxd,1068,193.47,100.00%,193.47,92.89%,23 Nov 2022,09:37
sammmay,1069,193.47,100.00%,193.47,90.43%,06 Oct 2022,14:02
bryanyan,1070,193.47,100.00%,193.47,91.57%,29 May 2022,12:02
sam_lpe,1071,193.47,100.00%,193.47,58.55%,01 Feb 2022,00:23
Speedyhs,1072,193.47,99.19%,196.67,91.43%,24 Nov 2022,03:48
Judor,1073,193.47,98.79%,198.27,86.96%,01 Dec 2021,20:32
porkyp,1074,193.47,98.78%,195.87,92.36%,20 Jul 2022,02:00
surt_gaming,1075,193.47,97.64%,203.06,87.16%,05 May 2023,12:05
DaudHTM,1076,193.47,96.47%,203.06,89.48%,17 May 2022,11:12
AngeloIlomin,1077,193.47,96.09%,204.66,87.26%,02 Nov 2021,10:46
hexens,1078,193.44,100.00%,193.44,86.83%,22 Sep 2023,08:18
WhiteRice,1079,193.42,100.00%,193.42,90.70%,01 Oct 2023,13:29
ChessKnightz,1080,193.39,100.00%,193.39,88.27%,08 Sep 2023,23:21
XeroxTypes,1081,193.39,99.59%,193.39,82.66%,20 Feb 2021,15:21
FluffyNebula,1082,193.39,96.84%,202.18,92.23%,15 Dec 2023,00:33
Artifex,1083,193.35,100.00%,193.35,90.17%,01 Nov 2023,22:27
JustADvorakUser,1084,193.34,100.00%,193.34,89.91%,15 Nov 2023,11:21
century,1085,193.34,99.59%,193.34,85.01%,31 Dec 2022,01:01
eclipsee,1086,193.34,99.18%,193.34,84.40%,24 May 2023,13:47
krusli,1087,193.28,100.00%,193.28,89.42%,29 Jan 2021,06:06
maddieemcc,1088,193.09,100.00%,193.09,89.91%,14 Mar 2023,21:13
j3smith3,1089,192.80,100.00%,192.80,95.77%,05 Jul 2023,19:16
Lep19_colemak,1090,192.80,100.00%,192.80,90.78%,01 Jul 2023,23:28
ICEY1212,1091,192.80,100.00%,192.80,87.66%,15 May 2023,01:22
danayi,1092,192.80,100.00%,192.80,89.47%,23 Jan 2023,14:51
Peaches,1093,192.80,100.00%,192.80,86.47%,16 Nov 2022,12:43
swagerson,1094,192.80,100.00%,192.80,91.98%,26 Aug 2022,15:27
Xanto,1095,192.80,100.00%,192.80,91.06%,22 Jul 2022,23:08
Deteriorating,1096,192.80,100.00%,192.80,88.31%,18 Jun 2022,22:01
Bidoofus,1097,192.80,100.00%,192.80,84.68%,09 Jun 2022,23:17
Rebellol,1098,192.80,100.00%,192.80,87.66%,13 May 2022,13:37
wolf,1099,192.80,100.00%,192.80,88.09%,25 Mar 2022,23:19
Forgive,1100,192.80,99.59%,193.60,88.49%,21 Jun 2023,13:05
Forgive,1100,192.80,99.59%,193.60,88.49%,21 Jun 2023,13:05
RamRefai,1101,192.80,99.59%,192.80,86.45%,20 Oct 2022,23:02
lunarrs,1102,192.80,99.59%,192.80,85.53%,29 Aug 2022,23:52
PortedTurnip,1103,192.80,99.18%,194.40,90.12%,11 Jan 2023,22:20
Lvbeh,1104,192.80,98.79%,197.60,89.17%,21 Sep 2022,14:58
atorpy,1105,192.80,98.78%,196.80,93.78%,01 Mar 2023,22:37
zhongyixinn,1106,192.80,98.78%,196.80,91.43%,22 Mar 2022,00:59
Chronical,1107,192.80,97.23%,202.40,86.33%,06 Jan 2022,04:02
loathe,1108,192.80,95.29%,204.00,87.85%,01 Jun 2023,00:05
Klob,1109,192.79,100.00%,192.79,92.65%,01 Dec 2023,00:14
MonsterPandaz,1110,192.79,100.00%,192.79,90.50%,08 Aug 2021,16:46
ahlok,1111,192.79,96.83%,201.59,50.10%,02 Aug 2023,23:25
Crystalz0P,1112,192.78,98.78%,196.78,88.05%,31 Oct 2023,11:59
loli,1113,192.78,97.60%,199.18,83.08%,15 Nov 2023,18:28
ad2030am,1114,192.78,94.62%,207.98,90.42%,30 Sep 2023,21:21
EyeballVandalist,1115,192.77,100.00%,192.77,89.47%,19 Oct 2023,08:35
boozooph,1116,192.77,98.78%,196.77,91.73%,25 Oct 2023,14:09
seanliu93,1117,192.77,98.78%,195.97,90.09%,05 Jun 2021,01:32
kax,1118,192.76,100.00%,192.76,91.06%,17 Nov 2023,13:28
Xotiic_312,1119,192.76,100.00%,192.76,89.97%,12 Nov 2023,00:36
walker38552,1120,192.76,100.00%,192.76,90.23%,08 Oct 2023,22:35
astro_,1121,192.76,100.00%,192.76,93.01%,08 Sep 2023,15:13
-mxntal-,1122,192.76,98.77%,193.56,87.81%,12 Nov 2023,12:59
er8852852,1123,192.76,96.60%,211.95,92.36%,18 Aug 2023,09:14
a_baby,1124,192.75,100.00%,192.75,91.98%,11 Aug 2023,16:12
jakarith,1125,192.75,98.02%,202.35,87.59%,04 Apr 2021,16:49
painlessness,1126,192.74,94.62%,206.34,64.65%,25 Apr 2021,11:18
E_ther,1127,192.71,100.00%,192.71,91.98%,28 Aug 2023,21:09
wikis,1128,192.69,100.00%,192.69,91.06%,20 Dec 2023,19:14
aRiver,1129,192.69,100.00%,192.69,87.66%,06 Apr 2021,10:50
alittlepeace,1130,192.69,99.59%,192.69,90.98%,03 Jun 2021,09:32
pollotropical,1131,192.69,99.19%,198.29,89.91%,14 Nov 2023,19:25
absurf,1132,192.69,98.37%,196.68,89.37%,10 Oct 2023,09:38
Stillow,1133,192.67,100.00%,192.67,92.65%,20 Apr 2023,12:17
tIGERMOOSE,1134,192.67,100.00%,192.67,88.99%,30 Jan 2023,19:51
chimki,1135,192.67,100.00%,192.67,93.01%,30 Sep 2022,16:50
doubleAyush,1136,192.67,100.00%,192.67,90.23%,13 Sep 2022,08:31
kliaotypes,1137,192.67,100.00%,192.67,91.98%,01 Mar 2022,17:47
jmo95,1138,192.67,100.00%,192.67,91.36%,30 Dec 2021,19:51
PrinceEdIsland,1139,192.67,100.00%,192.67,89.97%,18 Sep 2021,10:03
Venestle,1140,192.67,100.00%,192.67,90.23%,09 Sep 2021,03:14
Poison,1141,192.67,99.59%,195.07,88.45%,06 Jan 2023,00:56
sameer13,1142,192.67,98.00%,199.87,90.28%,23 May 2023,00:06
CornerMonkey,1143,192.67,97.65%,203.86,86.08%,25 Feb 2023,11:15
devprobably,1144,192.67,96.89%,205.46,91.51%,07 Feb 2023,13:23
BananaJuice,1145,192.67,96.80%,199.07,88.07%,25 Apr 2023,09:22
tesselslate,1146,192.63,100.00%,192.63,92.65%,21 Dec 2020,07:49
codefined,1147,192.61,100.00%,192.61,89.23%,04 Aug 2021,19:30
15wpmman,1148,192.58,98.79%,197.38,86.00%,07 Nov 2023,07:47
ilovecb,1149,192.42,98.78%,195.62,87.82%,08 Nov 2023,18:36
chillzyy,1150,192.42,98.78%,196.41,87.44%,20 Jul 2023,17:35
chillzyy,1150,192.42,98.78%,196.41,87.44%,20 Jul 2023,17:35
someone.,1151,192.29,100.00%,192.29,88.09%,14 Jul 2022,13:50
pranshusuyal,1152,192.00,100.00%,192.00,91.77%,01 Jun 2023,09:30
bluedragonfly1,1153,192.00,100.00%,192.00,90.05%,25 May 2023,13:20
Skyler_RL,1154,192.00,100.00%,192.00,90.87%,20 May 2023,22:33
adi.lela,1155,192.00,100.00%,192.00,90.59%,07 May 2023,03:18
xevious,1156,192.00,100.00%,192.00,93.55%,24 Feb 2023,16:43
Joshument,1157,192.00,100.00%,192.00,88.82%,21 Oct 2022,13:56
lazyjz,1158,192.00,100.00%,192.00,91.16%,18 Sep 2022,22:52
archiekisro,1159,192.00,100.00%,192.00,92.78%,20 Apr 2022,22:40
Ventura,1160,192.00,100.00%,192.00,89.54%,29 Dec 2021,18:07
Friday_Night,1161,192.00,100.00%,192.00,92.09%,25 Oct 2021,11:45
Tyr4de,1162,192.00,100.00%,192.00,91.46%,09 Oct 2021,11:48
power_punch,1163,192.00,99.59%,194.40,89.62%,02 Oct 2021,18:03
breaker,1164,192.00,99.17%,192.80,87.22%,01 Sep 2022,14:16
nebulatypes,1165,192.00,99.17%,192.00,82.63%,21 Aug 2022,04:21
zhongfu,1166,192.00,98.79%,197.60,92.36%,02 Jun 2022,00:10
lavatrex7,1167,192.00,98.78%,196.00,86.65%,02 May 2022,12:57
fbicat,1168,192.00,98.77%,194.40,89.14%,28 Oct 2022,06:59
karuta,1169,192.00,98.36%,192.00,91.17%,17 Jul 2022,17:04
bocrato,1170,192.00,97.98%,198.40,87.93%,30 May 2023,16:13
Tyler1337,1171,192.00,97.60%,200.00,92.84%,24 Nov 2021,20:35
JordanHOnag2,1172,192.00,96.48%,204.00,54.44%,02 Nov 2022,10:30
Spracle,1173,191.99,100.00%,191.99,89.79%,26 Nov 2023,07:10
crystal0000,1174,191.99,100.00%,191.99,89.30%,01 Apr 2021,12:22
JamBot,1175,191.99,97.27%,202.39,47.72%,24 Nov 2020,15:42
Derragon,1176,191.98,100.00%,191.98,90.32%,05 Nov 2023,21:15
sugarkayne,1177,191.97,100.00%,191.97,84.86%,17 Dec 2023,05:28
ikasu,1178,191.97,96.39%,191.97,89.73%,07 Nov 2023,16:54
Rockystarz,1179,191.96,100.00%,191.96,87.50%,25 Aug 2023,13:56
tactilemenace,1180,191.95,98.00%,199.95,84.25%,11 Jul 2021,01:10
boomtrioboox,1181,191.94,98.78%,196.74,91.73%,27 Nov 2023,02:39
joseph468,1182,191.94,97.60%,199.93,93.55%,30 Oct 2023,16:55
soword2,1183,191.93,97.96%,191.93,92.36%,27 Apr 2021,13:25
suraj_,1184,191.92,100.00%,191.92,89.54%,17 Dec 2023,03:54
Jessickmon,1185,191.92,100.00%,191.92,89.30%,19 Sep 2023,21:06
Exorite,1186,191.92,99.59%,193.52,91.27%,04 Sep 2023,19:27
etlvnn,1187,191.92,95.63%,199.91,90.48%,14 Aug 2023,15:53
zzwhoops,1188,191.91,100.00%,191.91,89.06%,07 Oct 2023,14:13
ConCollision,1189,191.90,100.00%,191.90,91.46%,15 Oct 2023,18:53
crazycat3290,1190,191.90,97.59%,195.90,81.89%,04 Nov 2023,14:24
ShackdeShnaek,1191,191.87,100.00%,191.87,90.87%,21 Jun 2023,17:33
Abacaxi,1192,191.87,100.00%,191.87,88.82%,23 Nov 2022,22:04
Joonas,1193,191.87,100.00%,191.87,89.06%,04 May 2022,13:06
Ezarabi,1194,191.87,100.00%,191.87,86.69%,11 Mar 2022,21:12
Mitochondr1a,1195,191.87,100.00%,191.87,90.87%,24 Feb 2022,00:05
tokugawashorts,1196,191.87,100.00%,191.87,90.32%,18 Nov 2021,21:19
bdoggy,1197,191.87,99.59%,191.87,90.50%,10 Apr 2021,01:11
TheRealButterDog,1198,191.87,98.79%,198.27,94.65%,11 Nov 2022,13:34
Kinorana,1199,191.87,98.78%,195.07,84.61%,20 Mar 2023,18:31
false_,1200,191.87,98.78%,195.87,87.42%,30 Jan 2022,21:57
false_,1200,191.87,98.78%,195.87,87.42%,30 Jan 2022,21:57
FreenchFrays,1201,191.87,98.77%,194.27,83.41%,03 Mar 2023,10:36
LapurGamerX,1202,191.87,98.77%,195.07,83.59%,09 Dec 2022,11:20
xttori,1203,191.87,98.77%,195.07,88.90%,13 Oct 2022,10:10
XLMisch,1204,191.87,98.36%,195.07,85.72%,04 Mar 2023,10:33
Hehepulator,1205,191.87,97.98%,196.67,92.05%,12 Dec 2022,09:26
J_icholas,1206,191.87,97.60%,199.87,89.57%,29 May 2022,04:14
foozy,1207,191.86,97.98%,196.66,79.53%,18 Sep 2023,22:08
OmegaValkyrion,1208,191.85,96.43%,201.44,91.53%,14 Dec 2020,20:45
kyleman44,1209,191.83,100.00%,191.83,89.06%,07 Jul 2021,23:38
spiderpig7,1210,191.80,97.27%,204.58,88.58%,26 Nov 2023,21:06
rayofsunshine,1211,191.79,100.00%,191.79,93.55%,29 Jul 2021,00:48
BreakfastBiscuit,1212,191.69,100.00%,191.69,90.87%,28 Sep 2023,11:49
ppokycom,1213,191.62,100.00%,191.62,89.30%,04 May 2022,11:47
Cheney,1214,191.47,95.79%,208.22,91.40%,30 Nov 2023,17:31
Mwhu,1215,191.24,97.65%,203.19,87.29%,21 Feb 2023,13:23
iKevinY,1216,191.20,100.00%,191.20,92.24%,22 Nov 2023,13:02
mineprodan,1217,191.20,100.00%,191.20,90.42%,07 Jul 2023,23:28
leels,1218,191.20,100.00%,191.20,93.33%,24 Jun 2023,02:16
Kevdawg,1219,191.20,100.00%,191.20,92.24%,18 Oct 2022,09:34
EdTheBass,1220,191.20,100.00%,191.20,94.17%,13 Sep 2022,16:55
pingaspootis,1221,191.20,100.00%,191.20,89.14%,15 Aug 2022,21:31
Tesseract,1222,191.20,100.00%,191.20,89.63%,08 Aug 2022,15:23
Toastified,1223,191.20,100.00%,191.20,89.14%,11 Mar 2022,09:58
kennykalman,1224,191.20,100.00%,191.20,92.59%,02 Nov 2021,21:15
brand0n,1225,191.20,99.17%,191.20,90.78%,05 Jul 2022,20:16
qwer_,1226,191.20,99.17%,192.80,84.51%,29 Dec 2021,18:14
C4NARY,1227,191.20,99.17%,191.20,88.09%,28 May 2021,13:30
bboy,1228,191.20,98.79%,198.40,93.06%,02 Sep 2021,16:37
pentalex,1229,191.20,98.76%,191.20,88.49%,07 Jan 2023,11:10
alexcai13,1230,191.20,98.37%,196.00,86.49%,01 Sep 2022,10:54
frankez,1231,191.20,97.59%,199.20,88.40%,21 Apr 2023,00:09
Zonbit,1232,191.20,96.76%,191.20,87.29%,19 Jun 2023,11:33
havesomepziza,1233,191.19,100.00%,191.19,90.42%,14 Oct 2023,22:19
OdisProdis,1234,191.19,99.18%,195.19,92.74%,24 Aug 2023,14:41
serpion,1235,191.19,97.20%,199.99,82.66%,04 Sep 2023,12:19
enigma515,1236,191.18,99.59%,194.38,84.68%,06 Oct 2023,17:32
jossypoo,1237,191.18,97.98%,198.38,87.34%,19 May 2021,18:58
jeremoo_typing,1238,191.18,97.23%,202.38,91.11%,30 Oct 2023,17:00
Omerta,1239,191.17,100.00%,191.17,92.59%,10 Nov 2020,04:09
onlyiamme,1240,191.17,98.77%,194.37,91.51%,28 Oct 2023,14:24
KayBeef,1241,191.17,98.38%,195.97,58.37%,13 Aug 2023,00:19
griffman85,1242,191.17,93.54%,205.57,52.05%,27 Feb 2021,16:32
Scoffled,1243,191.16,100.00%,191.16,72.08%,10 Nov 2023,13:30
dkia7,1244,191.16,100.00%,191.16,94.17%,31 Jul 2021,23:34
kuronaranze,1245,191.16,99.58%,191.16,87.71%,05 Dec 2023,14:29
felij,1246,191.16,97.65%,203.96,40.08%,31 Dec 2020,15:03
samuraipie,1247,191.16,94.14%,204.76,88.19%,21 Nov 2023,18:27
yowob,1248,191.15,100.00%,191.15,87.56%,16 Nov 2023,19:58
UnoUno137,1249,191.15,100.00%,191.15,87.35%,02 Nov 2023,16:09
scqtter,1250,191.15,99.17%,191.15,84.84%,20 Dec 2023,12:54
scqtter,1250,191.15,99.17%,191.15,84.84%,20 Dec 2023,12:54
vigenere36,1251,191.15,98.78%,195.95,91.15%,23 Dec 2023,00:00
edifice,1252,191.13,100.00%,191.13,93.74%,15 Oct 2023,04:35
doBig,1253,191.12,100.00%,191.12,93.74%,10 Dec 2023,18:43
jeremoo,1254,191.12,100.00%,191.12,86.35%,13 Oct 2023,14:13
chiezcayk,1255,191.11,100.00%,191.11,94.64%,06 Aug 2023,17:56
patpatpatpat,1256,191.11,100.00%,191.11,92.24%,17 Dec 2020,22:36
mwizard,1257,191.09,96.41%,200.68,88.99%,09 Sep 2023,18:33
NoahVN,1258,191.08,99.58%,191.88,85.57%,03 Nov 2023,18:22
mesmore,1259,191.08,95.06%,210.27,68.99%,02 May 2021,19:22
Parisledog,1260,191.07,100.00%,191.07,86.94%,18 Jul 2023,22:36
risynn,1261,191.07,100.00%,191.07,92.59%,24 Apr 2023,17:03
ronn,1262,191.07,100.00%,191.07,91.59%,06 Apr 2023,07:51
spooner,1263,191.07,100.00%,191.07,90.42%,23 Mar 2023,21:19
Roman.pesta,1264,191.07,100.00%,191.07,92.59%,20 Dec 2022,08:17
HiK0,1265,191.07,100.00%,191.07,91.91%,19 Nov 2022,12:19
muhther,1266,191.07,100.00%,191.07,85.79%,24 Sep 2022,02:09
FlippyK,1267,191.07,100.00%,191.07,92.95%,30 Aug 2022,02:58
LagginTimes,1268,191.07,100.00%,191.07,91.91%,27 Apr 2022,07:46
marin829,1269,191.07,99.18%,195.07,89.60%,17 Jun 2023,09:46
nick101,1270,191.07,99.18%,194.27,92.46%,09 Mar 2023,18:22
cyang,1271,191.07,98.78%,195.87,88.46%,04 Mar 2023,06:25
TrashmanVlogs,1272,191.07,98.78%,195.87,91.74%,01 Oct 2022,19:42
notjah,1273,191.07,97.98%,195.87,88.29%,21 Nov 2021,14:17
shades,1274,191.02,99.18%,195.02,92.07%,05 Dec 2020,23:47
friday7332,1275,191.00,100.00%,191.00,91.28%,18 Sep 2023,13:56
1539945,1276,190.95,100.00%,190.95,92.95%,21 Mar 2023,11:44
Sobie2007,1277,190.95,98.78%,196.54,60.33%,23 Mar 2021,20:06
jax_818,1278,190.92,99.18%,195.72,84.73%,04 Dec 2023,12:39
OhMYlordyLORD,1279,190.92,97.97%,196.51,88.69%,06 Dec 2023,13:33
Tentic,1280,190.89,100.00%,190.89,91.59%,24 Sep 2023,08:24
Daulphin,1281,190.87,98.39%,198.06,91.78%,03 Aug 2021,19:24
technonerd,1282,190.78,100.00%,190.78,88.90%,21 Nov 2023,13:51
typer20,1283,190.40,100.00%,190.40,88.52%,24 Jul 2023,15:33
lamborgotii,1284,190.40,100.00%,190.40,86.22%,10 May 2023,15:24
nathanip101,1285,190.40,100.00%,190.40,90.55%,27 Feb 2023,17:11
Drains,1286,190.40,100.00%,190.40,92.07%,25 Feb 2023,22:02
monkifer777,1287,190.40,100.00%,190.40,87.85%,15 Dec 2022,01:29
kevintli,1288,190.40,100.00%,190.40,92.41%,11 Dec 2022,04:36
iNoYou,1289,190.40,100.00%,190.40,91.43%,08 Sep 2022,12:39
ghostfaceHealer,1290,190.40,100.00%,190.40,90.00%,12 Jul 2022,13:39
mrpanda,1291,190.40,100.00%,190.40,91.43%,16 Jun 2022,15:37
wlfeh,1292,190.40,100.00%,190.40,92.77%,15 Jan 2022,16:14
stumpkip,1293,190.40,100.00%,190.40,92.07%,16 Sep 2021,23:01
bryton,1294,190.40,99.58%,190.40,90.99%,04 Nov 2022,20:18
czhoe,1295,190.40,99.58%,190.40,91.59%,05 Sep 2022,15:50
YoBoyTroy,1296,190.40,99.58%,190.40,95.16%,24 Jan 2022,16:50
Jimothee,1297,190.40,99.17%,190.40,89.54%,13 Jul 2023,01:09
nootch,1298,190.40,99.17%,191.20,88.14%,22 Feb 2023,23:30
manimvu,1299,190.40,99.17%,190.40,83.07%,08 Feb 2023,10:00
Killy,1300,190.40,99.17%,190.40,84.34%,04 Jan 2023,11:02
Killy,1300,190.40,99.17%,190.40,84.34%,04 Jan 2023,11:02
Xrayiterax,1301,190.40,99.17%,190.40,66.00%,13 Jul 2022,17:32
shoxbad,1302,190.40,98.77%,194.40,92.80%,28 Sep 2022,14:34
Pr3Crast1nator,1303,190.40,98.76%,192.80,89.97%,03 Mar 2023,04:21
Hello9999901,1304,190.40,98.41%,200.80,87.38%,15 Jan 2023,11:51
clacko,1305,190.40,98.36%,195.20,92.07%,06 Jun 2023,16:34
notdav,1306,190.40,98.36%,195.20,91.76%,27 Apr 2023,16:20
Bee123,1307,190.40,98.36%,195.20,86.44%,12 Dec 2022,19:57
Spectra,1308,190.40,98.02%,201.60,90.48%,12 Sep 2022,08:29
mysticblu,1309,190.40,97.61%,200.80,91.42%,20 Feb 2023,23:03
melody14,1310,190.40,97.55%,196.00,89.36%,08 May 2023,16:36
EaZea,1311,190.40,97.54%,190.40,91.17%,17 Jan 2023,13:59
Encrypt,1312,190.39,98.77%,194.39,93.16%,22 Dec 2023,17:45
Grid,1313,190.39,95.86%,212.79,91.64%,14 Oct 2023,03:16
bearIyy,1314,190.38,100.00%,190.38,90.55%,28 Oct 2023,06:10
ahiremath,1315,190.37,100.00%,190.37,88.30%,30 Nov 2023,16:55
YASR,1316,190.37,100.00%,190.37,90.83%,12 Oct 2023,15:00
tgrizbear,1317,190.37,100.00%,190.37,93.15%,13 Sep 2023,23:04
Dragons,1318,190.37,100.00%,190.37,90.83%,07 Feb 2021,21:21
mochimochi,1319,190.37,99.17%,190.37,43.56%,26 Nov 2020,13:10
_kiki,1320,190.36,100.00%,190.36,89.74%,19 Aug 2023,16:45
Alegrel,1321,190.36,100.00%,190.36,92.07%,21 May 2021,18:03
spiritofgaia,1322,190.36,99.58%,190.36,86.94%,15 Nov 2023,03:50
splooze,1323,190.35,100.00%,190.35,93.15%,19 Dec 2023,06:04
zulangsam,1324,190.34,100.00%,190.34,92.07%,19 Dec 2023,18:58
yip,1325,190.34,100.00%,190.34,93.97%,08 Jan 2021,17:53
TOF,1326,190.34,99.59%,193.53,87.63%,05 Dec 2023,06:20
Shiny_Birb,1327,190.34,99.18%,195.14,92.40%,05 Nov 2023,00:10
kingofthefall,1328,190.33,99.58%,190.33,90.15%,10 Dec 2023,09:58
thekevinlab,1329,190.32,99.17%,190.32,64.65%,06 Jul 2021,14:15
goostman,1330,190.30,98.77%,195.10,90.62%,17 Nov 2023,20:53
Chclo,1331,190.28,100.00%,190.28,88.07%,17 Dec 2023,14:35
kingcobruh,1332,190.28,100.00%,190.28,88.52%,28 Aug 2023,21:37
myopic,1333,190.28,97.98%,198.27,88.34%,20 Dec 2023,05:34
psychosuzie,1334,190.27,100.00%,190.27,88.76%,29 Jun 2023,11:38
jlam55555,1335,190.27,100.00%,190.27,94.92%,21 May 2023,17:57
baccaforever,1336,190.27,100.00%,190.27,81.04%,06 Apr 2023,15:00
bigmonkeyW,1337,190.27,100.00%,190.27,85.29%,18 Jan 2023,13:25
marasca,1338,190.27,100.00%,190.27,88.30%,05 Jan 2023,21:57
jlnt,1339,190.27,100.00%,190.27,91.75%,01 Dec 2022,01:15
Fast_af,1340,190.27,100.00%,190.27,89.74%,14 Aug 2022,20:08
OtterCuber,1341,190.27,100.00%,190.27,90.55%,23 Apr 2022,17:33
hatena_zo,1342,190.27,100.00%,190.27,88.30%,06 Mar 2022,09:12
thresh12345,1343,190.27,99.58%,190.27,85.24%,12 Oct 2022,14:42
WilliamUemura,1344,190.27,99.17%,190.27,87.29%,04 Jul 2022,15:00
marasy,1345,190.27,97.99%,199.07,90.98%,10 Jun 2023,05:43
tofufish,1346,190.27,96.39%,197.47,87.02%,07 Sep 2022,22:19
ksnu,1347,190.27,95.97%,190.27,58.78%,09 Jul 2021,07:25
Looda,1348,190.27,91.76%,222.25,24.36%,15 Dec 2020,14:27
whyl18,1349,190.22,100.00%,190.22,88.07%,24 Sep 2023,09:53
AlBiomaton,1350,190.21,100.00%,190.21,87.85%,13 May 2021,05:05
AlBiomaton,1350,190.21,100.00%,190.21,87.85%,13 May 2021,05:05
TheRoyalTamarin,1351,190.15,100.00%,190.15,86.03%,21 Dec 2022,13:13
twitch,1352,190.15,98.77%,194.14,90.65%,15 Oct 2021,12:26
sookie,1353,190.15,97.57%,197.34,90.63%,08 Sep 2022,17:53
Quadratic289,1354,190.05,100.00%,190.05,91.75%,23 Sep 2023,21:07
teri,1355,190.02,98.78%,196.41,91.15%,06 Apr 2022,15:35
Xenternne,1356,189.90,100.00%,189.90,85.47%,21 Nov 2023,12:49
AproG,1357,189.77,99.17%,189.77,47.51%,16 Feb 2022,11:02
a-riceeater,1358,189.64,98.78%,196.02,94.19%,08 Dec 2022,14:22
doughmingo,1359,189.60,100.00%,189.60,91.29%,20 Jun 2023,23:56
elbagel,1360,189.60,100.00%,189.60,88.63%,19 May 2023,23:39
slusho,1361,189.60,100.00%,189.60,88.40%,05 Mar 2023,03:36
vexedpurple,1362,189.60,100.00%,189.60,90.42%,09 Dec 2022,18:36
Hal9000,1363,189.60,100.00%,189.60,91.29%,08 Dec 2022,12:10
chunjeat,1364,189.60,100.00%,189.60,92.99%,04 Aug 2022,14:15
smjleo,1365,189.60,100.00%,189.60,93.80%,18 Apr 2022,01:21
Relapse,1366,189.60,100.00%,189.60,90.14%,22 Feb 2022,20:48
arsaulted,1367,189.60,100.00%,189.60,90.14%,11 Jan 2022,20:38
kenton,1368,189.60,100.00%,189.60,90.42%,23 Aug 2021,18:41
cherliang,1369,189.60,100.00%,189.60,42.81%,20 Oct 2020,22:56
Benjiiiii,1370,189.60,99.59%,192.80,92.30%,25 Mar 2023,22:01
nick3252,1371,189.60,99.58%,189.60,85.11%,22 Jun 2023,00:48
asianfromchina,1372,189.60,98.76%,192.80,87.87%,24 Mar 2023,17:43
javen,1373,189.60,98.76%,193.60,92.89%,06 May 2022,03:30
jzhxo,1374,189.60,98.76%,193.60,92.20%,05 Apr 2022,17:41
enfonius,1375,189.60,98.76%,193.60,86.26%,24 Sep 2021,19:17
Stroodle,1376,189.60,97.98%,198.40,91.20%,20 Jun 2021,22:04
pugtaka,1377,189.60,97.94%,194.40,86.63%,09 Dec 2022,17:02
karlheinemeier,1378,189.60,97.53%,194.40,91.81%,09 Jun 2023,05:01
bossman_steve,1379,189.60,95.98%,199.20,93.11%,04 Sep 2022,07:24
Negus2010,1380,189.60,94.88%,203.20,92.09%,19 Jun 2023,11:45
snikeron,1381,189.59,100.00%,189.59,91.29%,13 Dec 2023,22:26
Your_Imouto,1382,189.59,100.00%,189.59,90.99%,24 Oct 2023,09:29
Elekrono,1383,189.59,100.00%,189.59,90.70%,31 Jul 2023,15:14
yeetaman,1384,189.59,98.39%,199.19,87.02%,03 Aug 2021,12:34
ripley,1385,189.57,100.00%,189.57,92.62%,13 May 2021,23:35
kierthehunter,1386,189.57,98.76%,193.57,89.18%,23 Nov 2023,19:20
rd360,1387,189.57,96.80%,199.97,90.79%,27 Oct 2023,13:43
Brpy,1388,189.56,99.58%,189.56,82.95%,19 Sep 2023,19:54
dearmr,1389,189.56,98.77%,194.36,87.21%,31 Jul 2023,22:46
killmyself,1390,189.56,98.76%,193.56,91.57%,01 Oct 2023,09:49
Eric-Huang,1391,189.56,97.99%,199.16,87.99%,03 Dec 2023,14:37
quickness,1392,189.55,100.00%,189.55,90.42%,14 Oct 2023,00:17
ROSSO,1393,189.55,100.00%,189.55,86.68%,30 Sep 2023,00:03
NatesHere15,1394,189.55,100.00%,189.55,90.42%,22 Sep 2023,16:18
Athaya,1395,189.55,100.00%,189.55,89.11%,31 Jan 2021,01:44
irrrlrvant,1396,189.55,98.78%,195.95,88.67%,10 Dec 2020,13:52
Architect,1397,189.55,97.97%,195.15,84.29%,15 Nov 2023,07:42
Juprai,1398,189.54,100.00%,189.54,90.70%,03 Oct 2023,11:37
maxlou188,1399,189.54,98.78%,195.94,87.62%,11 Aug 2023,16:47
EvilRangerGeni,1400,189.53,100.00%,189.53,89.61%,22 Jul 2021,05:51
EvilRangerGeni,1400,189.53,100.00%,189.53,89.61%,22 Jul 2021,05:51
digga_d,1401,189.53,97.60%,199.93,86.38%,23 Jun 2021,07:12
lil_nong,1402,189.52,100.00%,189.52,91.60%,01 Dec 2023,16:41
asdflkjh,1403,189.51,100.00%,189.51,87.09%,08 Nov 2023,12:26
